시,주소,규모,공실률,순영업소득
서울,광화문,소규모,5.1,173.7
서울,남대문,소규모,8.9,105.5
서울,동대문,소규모,5.5,91.4
서울,명동,소규모,19.7,165.6
서울,시청,소규모,5.4,164.3
서울,을지로,소규모,4.8,119.5
서울,종로,소규모,9.5,143.9
서울,충무로,소규모,12,97.1
서울,강남대로,소규모,0,158.1
서울,교대역,소규모,5.6,89.1
서울,남부터미널,소규모,0,70.3
서울,논현역,소규모,1.6,104.7
서울,도산대로,소규모,0,92.1
서울,신사역,소규모,0,134.1
서울,압구정,소규모,0,65.7
서울,청담,소규모,0,116.4
서울,테헤란로,소규모,1,164.2
서울,공덕역,소규모,1,122.9
서울,당산역,소규모,5.3,84.5
서울,동교/연남,소규모,2.4,114.6
서울,망원역,소규모,0,90.8
서울,신촌/이대,소규모,9,92.3
서울,영등포역,소규모,7.4,72.9
서울,홍대/합정,소규모,7.8,106.9
서울,가락시장,소규모,0,60.7
서울,건대입구,소규모,4.3,90.5
서울,경희대,소규모,0,97.2
서울,군자,소규모,0,65.1
서울,노량진,소규모,4.1,46.3
서울,독산/시흥,소규모,2.7,72
서울,뚝섬,소규모,3.9,93.7
서울,목동,소규모,9,65.8
서울,미아사거리,소규모,7.6,70.8
서울,불광역,소규모,7.5,54.8
서울,사당,소규모,2.2,71.5
서울,상계역,소규모,2.6,47.2
서울,상봉역,소규모,0,94.7
서울,서울대입구역,소규모,6.1,136.3
서울,성신여대,소규모,4.2,123.7
서울,수유,소규모,20,57.8
서울,숙명여대,소규모,0,88.1
서울,신림역,소규모,1.1,160.9
서울,연신내,소규모,9.5,64.5
서울,오류동역,소규모,2.6,103.6
서울,왕십리,소규모,0,94.8
서울,용산역,소규모,11.1,57.8
서울,이태원,소규모,8.3,123
서울,잠실/송파,소규모,6.7,69.9
서울,잠실새내역,소규모,2.4,59.2
서울,장안동,소규모,14.7,54
서울,천호,소규모,3.7,107.6
서울,청량리,소규모,3.7,97.1
서울,혜화동,소규모,0.6,90.1
서울,화곡,소규모,19.2,55.9
부산,경성대/부경대,소규모,0,70.6
부산,광안리,소규모,2.9,49.9
부산,구서동/금정구청,소규모,6.1,65.5
부산,남포동,소규모,18.7,72.6
