시,주소,세부주소,경도,위도
서울,광화문,서울 종로구 효자로 12 국립고궁박물관,126.9749764,37.5765941
서울,남대문,서울특별시 중구 세종대로 40,126.9753407,37.5599191
서울,동대문,서울특별시 동대문구 천호대로 145 동대문구청,127.0398181,37.5743642
서울,명동,서울특별시 중구 명동,126.9858199,37.5600457
서울,시청,서울특별시 중구 세종대로 110 서울특별시청,126.9781473,37.5665751
서울,을지로,서울특별시 중구 을지로동,126.9913555,37.5666977
서울,종로,서울특별시 종로구 종로1길 36 대림빌딩,126.9790486,37.5735209
서울,충무로,서울특별시 중구 퇴계로 199,126.9939119,37.5609439
서울,강남대로,서울특별시 강남구 강남대로 442,127.0262333,37.5021423
서울,교대역,서울특별시 서초구 서초대로 294,127.0129751,37.4937787
서울,남부터미널,서울특별시 서초구 효령로 292 서울남부터미널,127.0152476,37.4843456
서울,논현역,서울특별시 강남구 학동로 102 논현역,127.0216703,37.5111962
서울,도산대로,서울특별시 강남구 도산대로 1길 9,127.0203717,37.5170873
서울,신사역,서울특별시 강남구 도산대로 102,127.0203351,37.5164293
서울,압구정,서울특별시 강남구 압구정동,127.0308182,37.5306622
서울,청담,서울특별시 강남구 청담동,127.0492413,37.5250272
서울,테헤란로,서울특별시 강남구 역삼동,127.0330727,37.4953596
서울,공덕역,서울특별시 마포구 마포대로 100,126.9516986,37.544403
서울,당산역,서울특별시 영등포구 당산로 229,126.9027251,37.5349567
서울,동교/연남,서울특별시 마포구 연남동,126.9220216,37.5644721
서울,망원역,서울특별시 마포구 월드컵로 77 망원역,126.9104747,37.5560135
서울,신촌/이대,서울특별시 서대문구 신촌동,126.9392849,37.5651601
서울,영등포역,서울특별시 영등포구 경인로 846,126.9080384,37.5158679
서울,홍대/합정,서울특별시 마포구 합정동,126.9117604,37.5516554
서울,가락시장,서울 송파구 양재대로 932 가락동 농수산물도매시장,127.1120914,37.4931326
서울,건대입구,서울특별시 광진구 아차산로 243,127.0691763,37.5404227
서울,경희대,서울특별시 동대문구 경희대로 26,127.0490998,37.594947
서울,군자,서울특별시 광진구 천호대로 550,127.078999,37.5569258
서울,노량진,서울특별시 동작구 노량진동,126.9403953,37.5107023
서울,독산/시흥,서울특별시 금천구 독산동,126.8993954,37.4681406
서울,뚝섬,서울 광진구 자양동 435,127.0724257,37.5284013
서울,목동,서울특별시 양천구 목동,126.8709878,37.5304317
서울,미아사거리,서울특별시 강북구 도봉로 50,127.0301094,37.6132817
서울,불광역,서울특별시 은평구 통일로 723-1,126.9305021,37.6101954
서울,사당,서울특별시 동작구 사당동,126.9731343,37.483924
서울,상계역,서울특별시 노원구 상계로 182,127.073579,37.6609081
서울,상봉역,서울특별시 중랑구 망우로 297,127.0856054,37.5960824
서울,서울대입구역,서울특별시 관악구 남부순환로 1822 서울대입구역사,126.9522441,37.4811276
서울,성신여대,서울특별시 성북구 동소문로 102,127.016626,37.5929869
서울,수유,서울특별시 강북구 도봉로 338,127.0253613,37.6377416
서울,숙명여대,서울특별시 용산구 청파로47길 100,126.9648835,37.5459249
서울,신림역,서울특별시 관악구 남부순환로 1614,126.9301134,37.4845605
