시,주소,규모,층,임대료
서울,광화문,소규모,1층,82.5
서울,광화문,소규모,2층,42.3
서울,남대문,소규모,1층,63.9
서울,남대문,소규모,2층,24.1
서울,동대문,소규모,지하1층,8.5
서울,동대문,소규모,1층,47.8
서울,동대문,소규모,2층,21.9
서울,명동,소규모,지하1층,40
서울,명동,소규모,1층,138.2
서울,명동,소규모,2층,50.9
서울,시청,소규모,1층,84.6
서울,시청,소규모,2층,51.4
서울,을지로,소규모,지하1층,7.5
서울,을지로,소규모,1층,55.6
서울,을지로,소규모,2층,24
서울,종로,소규모,1층,67.5
서울,종로,소규모,2층,32.2
서울,충무로,소규모,지하1층,9.7
서울,충무로,소규모,1층,53.1
서울,충무로,소규모,2층,24.2
서울,강남대로,소규모,지하1층,20.7
서울,강남대로,소규모,1층,85.5
서울,강남대로,소규모,2층,44.6
서울,교대역,소규모,지하1층,16.8
서울,교대역,소규모,1층,40.9
서울,교대역,소규모,2층,31.4
서울,남부터미널,소규모,지하1층,10.5
서울,남부터미널,소규모,1층,38.5
서울,남부터미널,소규모,2층,17.8
서울,논현역,소규모,지하1층,22.4
서울,논현역,소규모,1층,65
서울,논현역,소규모,2층,35.7
서울,도산대로,소규모,지하1층,16.8
서울,도산대로,소규모,1층,45.4
서울,도산대로,소규모,2층,23.4
서울,신사역,소규모,지하1층,34.8
서울,신사역,소규모,1층,70.8
서울,신사역,소규모,2층,33.8
서울,압구정,소규모,지하1층,21.7
서울,압구정,소규모,1층,48.2
서울,압구정,소규모,2층,32.1
서울,청담,소규모,지하1층,54.1
서울,청담,소규모,1층,62.2
서울,청담,소규모,2층,25.9
서울,테헤란로,소규모,지하1층,31.1
서울,테헤란로,소규모,1층,69.2
서울,테헤란로,소규모,2층,38.5
서울,공덕역,소규모,지하1층,24.2
서울,공덕역,소규모,1층,60.2
서울,공덕역,소규모,2층,35
서울,당산역,소규모,지하1층,10
서울,당산역,소규모,1층,36.8
서울,당산역,소규모,2층,22.4
서울,동교/연남,소규모,지하1층,45.4
서울,동교/연남,소규모,1층,49.9
서울,동교/연남,소규모,2층,30.8
서울,망원역,소규모,지하1층,31.1
서울,망원역,소규모,1층,40.5
서울,망원역,소규모,2층,31.4
서울,신촌/이대,소규모,지하1층,42.4
서울,신촌/이대,소규모,1층,45.2
서울,신촌/이대,소규모,2층,19.8
서울,영등포역,소규모,지하1층,6.2
서울,영등포역,소규모,1층,34
서울,영등포역,소규모,2층,20.7
서울,홍대/합정,소규모,지하1층,45.3
서울,홍대/합정,소규모,1층,52.5
서울,홍대/합정,소규모,2층,33
서울,가락시장,소규모,지하1층,9.2
서울,가락시장,소규모,1층,30.8
서울,가락시장,소규모,2층,13.6
서울,건대입구,소규모,지하1층,15.9
서울,건대입구,소규모,1층,46.4
서울,건대입구,소규모,2층,24.5
서울,경희대,소규모,지하1층,18.4
서울,경희대,소규모,1층,46.1
서울,경희대,소규모,2층,13
서울,군자,소규모,지하1층,16.1
서울,군자,소규모,1층,32
서울,군자,소규모,2층,17
서울,노량진,소규모,지하1층,11.3
서울,노량진,소규모,1층,26.4
서울,노량진,소규모,2층,14.7
서울,독산/시흥,소규모,1층,31.1
서울,독산/시흥,소규모,2층,13.2
서울,뚝섬,소규모,지하1층,23.2
서울,뚝섬,소규모,1층,49.3
서울,뚝섬,소규모,2층,24.2
서울,목동,소규모,지하1층,16.1
서울,목동,소규모,1층,34.8
서울,목동,소규모,2층,15.7
서울,미아사거리,소규모,지하1층,18.9
서울,미아사거리,소규모,1층,37.5
서울,미아사거리,소규모,2층,18.5
서울,불광역,소규모,지하1층,9.3
서울,불광역,소규모,1층,38.5
서울,불광역,소규모,2층,15.3
서울,사당,소규모,지하1층,16
서울,사당,소규모,1층,43.7
서울,사당,소규모,2층,20.1
서울,상계역,소규모,지하1층,10
서울,상계역,소규모,1층,26.1
서울,상계역,소규모,2층,9.8
서울,상봉역,소규모,1층,46.4
서울,상봉역,소규모,2층,13.2
서울,서울대입구역,소규모,지하1층,15.1
서울,서울대입구역,소규모,1층,60.2
서울,서울대입구역,소규모,2층,36.6
서울,성신여대,소규모,지하1층,10.4
서울,성신여대,소규모,1층,52.3
서울,성신여대,소규모,2층,23.3
서울,수유,소규모,지하1층,8.6
서울,수유,소규모,1층,36.6
서울,수유,소규모,2층,11.3
서울,숙명여대,소규모,지하1층,0
서울,숙명여대,소규모,1층,43.5
서울,숙명여대,소규모,2층,23
서울,신림역,소규모,지하1층,12.5
서울,신림역,소규모,1층,70.9
서울,신림역,소규모,2층,24.2
서울,연신내,소규모,지하1층,16.8
서울,연신내,소규모,1층,42.2
서울,연신내,소규모,2층,19.9
서울,오류동역,소규모,1층,47.1
서울,오류동역,소규모,2층,28.3
서울,왕십리,소규모,지하1층,21.1
서울,왕십리,소규모,1층,44.8
서울,왕십리,소규모,2층,19
서울,용산역,소규모,지하1층,10.5
서울,용산역,소규모,1층,33
서울,용산역,소규모,2층,17.2
서울,이태원,소규모,지하1층,43.4
서울,이태원,소규모,1층,59.6
서울,이태원,소규모,2층,47.1
서울,잠실/송파,소규모,지하1층,10.6
서울,잠실/송파,소규모,1층,34.2
서울,잠실/송파,소규모,2층,15.3
서울,잠실새내역,소규모,지하1층,13.3
서울,잠실새내역,소규모,1층,32.7
서울,잠실새내역,소규모,2층,13.8
서울,장안동,소규모,지하1층,9.4
서울,장안동,소규모,1층,34
서울,장안동,소규모,2층,15.6
서울,천호,소규모,1층,55.6
서울,천호,소규모,2층,24.3
서울,청량리,소규모,1층,40.6
서울,청량리,소규모,2층,26.8
서울,혜화동,소규모,지하1층,19.3
서울,혜화동,소규모,1층,50.5
서울,혜화동,소규모,2층,30.8
서울,화곡,소규모,지하1층,5.2
서울,화곡,소규모,1층,28.5
서울,화곡,소규모,2층,13.4
부산,경성대/부경대,소규모,1층,32
부산,경성대/부경대,소규모,2층,16.8
부산,광안리,소규모,지하1층,7.1
부산,광안리,소규모,1층,25.1
부산,광안리,소규모,2층,12.6
부산,구서동/금정구청,소규모,지하1층,7.6
부산,구서동/금정구청,소규모,1층,33.5
부산,구서동/금정구청,소규모,2층,15.3
부산,남포동,소규모,1층,46.3
부산,남포동,소규모,2층,13.6
부산,남항동,소규모,지하1층,6.6
부산,남항동,소규모,1층,13.4
부산,남항동,소규모,2층,5.9
부산,덕천역,소규모,지하1층,6
부산,덕천역,소규모,1층,32.8
부산,덕천역,소규모,2층,13.3
부산,동래역,소규모,지하1층,3.2
부산,동래역,소규모,1층,28.3
부산,동래역,소규모,2층,14.3
부산,부산대학앞,소규모,지하1층,9.7
부산,부산대학앞,소규모,1층,34.1
부산,부산대학앞,소규모,2층,12.3
부산,부산역,소규모,1층,27.3
부산,부산역,소규모,2층,13.3
부산,부전시장,소규모,1층,38.3
부산,부전시장,소규모,2층,13.1
부산,사상역,소규모,지하1층,7.5
부산,사상역,소규모,1층,21.4
부산,사상역,소규모,2층,9.4
부산,사직야구장,소규모,1층,28.5
부산,사직야구장,소규모,2층,10.6
부산,서면/전포,소규모,1층,25.6
부산,서면/전포,소규모,2층,13.7
부산,송정해수욕장,소규모,1층,20.5
부산,송정해수욕장,소규모,2층,11.1
부산,수영역,소규모,1층,26.6
부산,수영역,소규모,2층,10
부산,연산로터리,소규모,1층,21.9
부산,연산로터리,소규모,2층,9.7
부산,온천장,소규모,지하1층,4.1
부산,온천장,소규모,1층,20
부산,온천장,소규모,2층,10.1
부산,하단역,소규모,지하1층,13.5
부산,하단역,소규모,1층,28
부산,하단역,소규모,2층,15.5
부산,해운대,소규모,1층,40.5
부산,해운대,소규모,2층,18.9
부산,현대백화점주변,소규모,1층,19.5
부산,현대백화점주변,소규모,2층,10.6
대구,경북대북문,소규모,1층,16.3
대구,경북대북문,소규모,2층,7.7
대구,동대구,소규모,1층,10.5
대구,동대구,소규모,2층,4.8
대구,동성로중심,소규모,1층,25.6
대구,동성로중심,소규모,2층,9.2
대구,들안길,소규모,지하1층,5.5
대구,들안길,소규모,1층,18.6
대구,들안길,소규모,2층,8.1
대구,삼덕/대봉,소규모,지하1층,7.5
대구,삼덕/대봉,소규모,1층,27.1
대구,삼덕/대봉,소규모,2층,10.6
대구,상인/월배,소규모,1층,28.5
대구,상인/월배,소규모,2층,15.8
대구,서문시장/청라언덕,소규모,1층,17.4
대구,서문시장/청라언덕,소규모,2층,6.2
대구,수성범어,소규모,지하1층,6.9
대구,수성범어,소규모,1층,24.8
대구,수성범어,소규모,2층,9.4
대구,시지지구,소규모,1층,21.3
대구,시지지구,소규모,2층,10.1
대구,월촌/안지랑,소규모,1층,16.3
대구,월촌/안지랑,소규모,2층,8.4
대구,죽전,소규모,1층,21
대구,죽전,소규모,2층,7.8
대구,칠곡,소규모,1층,27.8
대구,칠곡,소규모,2층,7.5
인천,간석오거리,소규모,지하1층,7
인천,간석오거리,소규모,1층,19
인천,간석오거리,소규모,2층,10.8
인천,계양계산,소규모,지하1층,7.4
인천,계양계산,소규모,1층,25.6
인천,계양계산,소규모,2층,10.7
인천,구월,소규모,지하1층,8.1
인천,구월,소규모,1층,18
인천,구월,소규모,2층,10.7
인천,부평,소규모,지하1층,5.6
인천,부평,소규모,1층,36.5
인천,부평,소규모,2층,17.9
인천,석남/가정중앙시장,소규모,지하1층,4.9
인천,석남/가정중앙시장,소규모,1층,17.3
인천,석남/가정중앙시장,소규모,2층,5.8
인천,신포동,소규모,지하1층,6.4
인천,신포동,소규모,1층,18
인천,신포동,소규모,2층,8.6
인천,주안,소규모,지하1층,4
인천,주안,소규모,1층,18.2
인천,주안,소규모,2층,7
광주,금남로/충장로,소규모,1층,19.7
광주,금남로/충장로,소규모,2층,8.3
광주,금호지구,소규모,1층,27.9
광주,금호지구,소규모,2층,7.6
광주,봉선동,소규모,1층,11.4
광주,봉선동,소규모,2층,4.6
광주,상무지구,소규모,1층,16.2
광주,상무지구,소규모,2층,9.1
광주,송정동지구,소규모,1층,18.8
광주,송정동지구,소규모,2층,8.2
광주,양산지구,소규모,1층,14.4
광주,양산지구,소규모,2층,4.9
광주,용봉동,소규모,1층,13.1
광주,용봉동,소규모,2층,2.7
광주,월산동지구,소규모,1층,15.9
광주,월산동지구,소규모,2층,5.3
광주,전남대,소규모,지하1층,5.7
광주,전남대,소규모,1층,19.7
광주,전남대,소규모,2층,9.7
광주,첨단1지구,소규모,1층,15.9
대전,노은,소규모,1층,17.8
대전,노은,소규모,2층,13.7
대전,복합터미널,소규모,지하1층,3.1
대전,복합터미널,소규모,1층,11.4
대전,복합터미널,소규모,2층,6.8
대전,서대전네거리,소규모,지하1층,3.5
대전,서대전네거리,소규모,1층,19.1
대전,서대전네거리,소규모,2층,8.4
대전,용문/한민시장,소규모,지하1층,7.5
대전,용문/한민시장,소규모,1층,14.5
대전,용문/한민시장,소규모,2층,7.7
대전,원도심,소규모,지하1층,4.9
대전,원도심,소규모,1층,14.7
대전,원도심,소규모,2층,6.4
대전,유성온천역,소규모,지하1층,2
대전,유성온천역,소규모,1층,10.6
대전,유성온천역,소규모,2층,4
울산,삼산동,소규모,1층,13.9
울산,삼산동,소규모,2층,6.9
울산,성남옥교동,소규모,1층,13.1
울산,성남옥교동,소규모,2층,7
울산,신정동,소규모,지하1층,6.1
울산,신정동,소규모,1층,14.3
울산,신정동,소규모,2층,7.2
울산,울산농소,소규모,1층,17.6
울산,울산농소,소규모,2층,7.6
울산,울산대,소규모,1층,16.4
울산,울산대,소규모,2층,4.9
울산,전하동,소규모,1층,14.8
울산,전하동,소규모,2층,8.8
세종,조치원,소규모,지하1층,3.6
세종,조치원,소규모,1층,12.9
세종,조치원,소규모,2층,6.2
경기,고양시청,소규모,지하1층,8.4
경기,고양시청,소규모,1층,19.2
경기,고양시청,소규모,2층,11.3
경기,광명철산,소규모,지하1층,8.7
경기,광명철산,소규모,1층,38.3
경기,광명철산,소규모,2층,11.5
경기,광주시가지,소규모,지하1층,5.3
경기,광주시가지,소규모,1층,22.9
경기,광주시가지,소규모,2층,11.3
경기,구리역,소규모,지하1층,8.6
경기,구리역,소규모,1층,36.9
경기,구리역,소규모,2층,13.5
경기,기흥역,소규모,지하1층,3.9
경기,기흥역,소규모,1층,27.8
경기,기흥역,소규모,2층,5.2
경기,김량장동,소규모,1층,19.7
경기,김량장동,소규모,2층,13.5
경기,동두천중앙로,소규모,지하1층,7.8
경기,동두천중앙로,소규모,1층,13.6
경기,동두천중앙로,소규모,2층,6.1
경기,모란,소규모,1층,44.5
경기,모란,소규모,2층,19.9
경기,병점역,소규모,1층,24.8
경기,병점역,소규모,2층,9.4
경기,부천역,소규모,지하1층,10.5
경기,부천역,소규모,1층,25.5
경기,부천역,소규모,2층,10.3
경기,성남구시가지,소규모,1층,27.6
경기,성남구시가지,소규모,2층,10.7
경기,수원역,소규모,1층,56.5
경기,수원역,소규모,2층,37.9
경기,신장/지산/서정,소규모,지하1층,2.4
경기,신장/지산/서정,소규모,1층,16.5
경기,신장/지산/서정,소규모,2층,9.2
경기,신천역,소규모,1층,21.3
경기,신천역,소규모,2층,7.5
경기,안성시장,소규모,지하1층,5.2
경기,안성시장,소규모,1층,12.4
경기,안성시장,소규모,2층,5.8
경기,안양역,소규모,지하1층,9.6
경기,안양역,소규모,1층,38.6
경기,안양역,소규모,2층,18
경기,여주시청,소규모,1층,17.8
경기,여주시청,소규모,2층,8.2
경기,오산시청,소규모,1층,19.6
경기,오산시청,소규모,2층,9.7
경기,용인수지,소규모,1층,24.7
경기,용인수지,소규모,2층,9.5
경기,의정부역,소규모,지하1층,13.5
경기,의정부역,소규모,1층,34.8
경기,의정부역,소규모,2층,13.1
경기,이천종합터미널,소규모,지하1층,4
경기,이천종합터미널,소규모,1층,16
경기,이천종합터미널,소규모,2층,7
경기,인계동,소규모,지하1층,4.2
경기,인계동,소규모,1층,27.1
경기,인계동,소규모,2층,33.8
경기,인덕원,소규모,1층,25
경기,인덕원,소규모,2층,10.1
경기,탄현역,소규모,1층,19.8
경기,탄현역,소규모,2층,11.4
경기,파주시청,소규모,지하1층,4.1
경기,파주시청,소규모,1층,25.5
경기,파주시청,소규모,2층,13.9
경기,팔달문로터리,소규모,지하1층,5.2
경기,팔달문로터리,소규모,1층,27.1
경기,팔달문로터리,소규모,2층,10.1
경기,평택역,소규모,1층,21.8
경기,평택역,소규모,2층,10
경기,포천시외버스터미널,소규모,1층,14.4
경기,포천시외버스터미널,소규모,2층,9.8
경기,하남원도심,소규모,1층,35.7
경기,하남원도심,소규모,2층,16.1
강원,강릉교동,소규모,1층,17.2
강원,강릉교동,소규모,2층,5.9
강원,강릉중부,소규모,지하1층,2.4
강원,강릉중부,소규모,1층,10.8
강원,강릉중부,소규모,2층,5.6
강원,묵호항,소규모,1층,10.1
강원,묵호항,소규모,2층,5.4
강원,삼척중앙시장,소규모,지하1층,2.8
강원,삼척중앙시장,소규모,1층,10
강원,삼척중앙시장,소규모,2층,5.3
강원,속초중앙시장,소규모,지하1층,2.6
강원,속초중앙시장,소규모,1층,18.7
강원,속초중앙시장,소규모,2층,7.4
강원,영월경찰서,소규모,1층,10.6
강원,영월경찰서,소규모,2층,5.3
강원,원주중앙/일산,소규모,지하1층,2.1
강원,원주중앙/일산,소규모,1층,16.8
강원,원주중앙/일산,소규모,2층,5.8
강원,주문진항,소규모,1층,11.7
강원,주문진항,소규모,2층,4.2
강원,춘천명동,소규모,지하1층,2.4
강원,춘천명동,소규모,1층,14.8
강원,춘천명동,소규모,2층,7.8
강원,태백중앙시장,소규모,지하1층,1.3
강원,태백중앙시장,소규모,1층,10.9
강원,태백중앙시장,소규모,2층,5.8
충북,봉명사거리,소규모,1층,17.8
충북,봉명사거리,소규모,2층,5.4
충북,제천역,소규모,1층,6.6
충북,제천역,소규모,2층,4.2
충북,제천중앙,소규모,1층,12.5
충북,제천중앙,소규모,2층,6.5
충북,증평광장로,소규모,1층,12.8
충북,증평광장로,소규모,2층,6.9
충북,청주성안길,소규모,지하1층,2.7
충북,청주성안길,소규모,1층,19.9
충북,청주성안길,소규모,2층,8.6
충북,충북대학교,소규모,지하1층,2.3
충북,충북대학교,소규모,1층,14.8
충북,충북대학교,소규모,2층,8.3
충북,충주연수칠금,소규모,1층,11
충북,충주연수칠금,소규모,2층,7.5
충북,충주자유시장,소규모,지하1층,6.1
충북,충주자유시장,소규모,1층,8.8
충북,충주자유시장,소규모,2층,3.9
충남,강경젓갈시장,소규모,1층,7.4
충남,강경젓갈시장,소규모,2층,4.4
충남,공주대,소규모,1층,11.7
충남,공주대,소규모,2층,8.6
충남,공주웅진동,소규모,1층,14.6
충남,공주웅진동,소규모,2층,7.8
충남,논산시외버스터미널,소규모,1층,13.1
충남,논산시외버스터미널,소규모,2층,4.5
충남,당진시청,소규모,지하1층,5.4
충남,당진시청,소규모,1층,15.4
충남,당진시청,소규모,2층,8
충남,두정,소규모,1층,14
충남,두정,소규모,2층,7.9
충남,배방읍,소규모,1층,18.4
충남,배방읍,소규모,2층,6.2
충남,보령문화의전당,소규모,1층,12.6
충남,보령문화의전당,소규모,2층,6.5
충남,서산터미널,소규모,1층,15.8
충남,서산터미널,소규모,2층,7.1
충남,아산온양,소규모,1층,13.5
충남,아산온양,소규모,2층,6.9
충남,예산시장,소규모,지하1층,1.7
충남,예산시장,소규모,1층,8.3
충남,예산시장,소규모,2층,3.2
충남,천안역,소규모,1층,15.4
충남,천안역,소규모,2층,6.9
충남,천안종합버스터미널,소규모,1층,19.6
충남,천안종합버스터미널,소규모,2층,8.5
충남,태안터미널,소규모,1층,10.1
충남,태안터미널,소규모,2층,4.2
충남,합덕버스터미널,소규모,1층,8.4
충남,합덕버스터미널,소규모,2층,3.4
전북,군산구도심,소규모,1층,7.5
전북,군산구도심,소규모,2층,3
전북,김제시장,소규모,1층,7.8
전북,김제시장,소규모,2층,3.9
전북,남원광한루,소규모,1층,9.1
전북,남원광한루,소규모,2층,5.3
전북,송천동,소규모,지하1층,5
전북,송천동,소규모,1층,12.5
전북,송천동,소규모,2층,6.5
전북,영등부송,소규모,1층,9.1
전북,영등부송,소규모,2층,4.6
전북,익산역,소규모,지하1층,1.3
전북,익산역,소규모,1층,8.3
전북,익산역,소규모,2층,3.5
전북,전주동부,소규모,지하1층,2.3
전북,전주동부,소규모,1층,13.4
전북,전주동부,소규모,2층,5.1
전북,전주서부,소규모,1층,13.5
전북,전주서부,소규모,2층,5.8
전북,정읍중심,소규모,1층,12.2
전북,정읍중심,소규모,2층,4.6
전남,광양읍,소규모,1층,6.8
전남,광양중동,소규모,1층,9.8
전남,광양중동,소규모,2층,7.9
전남,나주구시가지,소규모,1층,8.9
전남,나주구시가지,소규모,2층,5
전남,목포구도심,소규모,1층,7.1
전남,목포구도심,소규모,2층,3.3
전남,무선지구,소규모,1층,9.2
전남,무선지구,소규모,2층,4
전남,순천법원,소규모,1층,12.1
전남,순천법원,소규모,2층,6.8
전남,순천원도심,소규모,1층,11.8
전남,순천원도심,소규모,2층,5.9
전남,여수여문,소규모,1층,9.7
전남,여수여문,소규모,2층,3.8
전남,여수원도심,소규모,1층,19.3
전남,여수원도심,소규모,2층,9.4
전남,여수학동,소규모,지하1층,3.3
전남,여수학동,소규모,1층,10.2
전남,여수학동,소규모,2층,5.1
전남,조례,소규모,1층,15.4
전남,하당신도심,소규모,1층,11.2
전남,하당신도심,소규모,2층,6.1
경북,가흥택지개발지구,소규모,1층,12
경북,가흥택지개발지구,소규모,2층,6.3
경북,경주도심,소규모,1층,20.8
경북,경주도심,소규모,2층,5.3
경북,구미산업단지,소규모,1층,16.5
경북,구미선주원남동,소규모,1층,11.9
경북,구미선주원남동,소규모,2층,5.1
경북,구미역,소규모,1층,14.8
경북,구미역,소규모,2층,5.8
경북,문경점촌흥덕,소규모,1층,9.3
경북,문경점촌흥덕,소규모,2층,4.7
경북,상주동문동,소규모,1층,10.2
경북,상주동문동,소규모,2층,3.5
경북,안동구도심,소규모,1층,12.6
경북,안동구도심,소규모,2층,5.3
경북,양덕동,소규모,1층,9.8
경북,양덕동,소규모,2층,4.6
경북,영일대해수욕장,소규모,1층,17.7
경북,영일대해수욕장,소규모,2층,8
경북,영주중앙,소규모,1층,7.3
경북,영주중앙,소규모,2층,3.4
경북,옥동사거리,소규모,1층,11.3
경북,옥동사거리,소규모,2층,6.6
경북,포항도심,소규모,1층,11.6
경북,포항도심,소규모,2층,4.3
경남,거제고현,소규모,1층,14.5
경남,거제고현,소규모,2층,7.2
경남,거제옥포,소규모,1층,12.6
경남,거제옥포,소규모,2층,4.2
경남,김해시청/동상시장,소규모,1층,12.2
경남,김해시청/동상시장,소규모,2층,4.8
경남,마산동서동,소규모,1층,13.9
경남,마산동서동,소규모,2층,5.5
경남,마산역버스터미널,소규모,지하1층,2.7
경남,마산역버스터미널,소규모,1층,15.8
경남,마산역버스터미널,소규모,2층,7
경남,밀양원도심/삼문동,소규모,1층,11.4
경남,밀양원도심/삼문동,소규모,2층,5.1
경남,양산구도심,소규모,1층,10.4
경남,양산구도심,소규모,2층,4.4
경남,진주중앙시장,소규모,지하1층,2.6
경남,진주중앙시장,소규모,1층,15
경남,진주중앙시장,소규모,2층,6.3
경남,진해석동,소규모,1층,18.3
경남,창원시청,소규모,지하1층,5.4
경남,창원시청,소규모,1층,11.2
경남,창원시청,소규모,2층,5.4
경남,창원역,소규모,1층,15.4
경남,창원월영동,소규모,지하1층,11.6
경남,창원월영동,소규모,1층,22.5
경남,창원월영동,소규모,2층,8.3
경남,창원의창구청,소규모,1층,9.2
경남,창원의창구청,소규모,2층,4.3
경남,통영 강구안,소규모,1층,24.6
경남,통영 강구안,소규모,2층,8.2
경남,평거동,소규모,1층,13.7
경남,평거동,소규모,2층,8.9
경남,활천동,소규모,1층,11
경남,활천동,소규모,2층,6.4
제주,광양사거리,소규모,지하1층,2.6
제주,광양사거리,소규모,1층,12.3
제주,광양사거리,소규모,2층,9.1
제주,노형오거리,소규모,1층,20.1
제주,노형오거리,소규모,2층,8.6
제주,서귀포도심,소규모,지하1층,9.9
제주,서귀포도심,소규모,1층,17
제주,서귀포도심,소규모,2층,7
제주,중앙사거리,소규모,1층,11.2
제주,중앙사거리,소규모,2층,5.7
서울,광화문,중대형,지하1층,28.1
서울,광화문,중대형,1층,80.7
서울,광화문,중대형,2층,41.1
